id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
0mrBr6it6Zcbn3fzXfZWC3,Year 3000,26,163680,1,['JayTheKing'],['3V2h6jRks9dVEYhDMr1nsx'],2021,0.606,0.538,10,-9.353,0,0.101,0.0952,0.000384,0.125,0.185,146.918,4,Pop
5qzcKzMSBsHLrq3ldccNOd,Year 3000,0,120301,0,['Ellis Dews'],['1xPnS1N7yqsIw0vPTuwi6c'],2021,0.712,0.94,2,-8.064,1,0.0593,0.00682,0.738,0.101,0.737,168.066,4,Pop
0yPzrMeFMEyDUA92a8CvKY,Year 3000,0,362000,0,['Lord II'],['4tb7tioR4WLInOH0anFvQr'],2021,0.882,0.538,9,-5.64,0,0.0774,0.00276,0.00898,0.635,0.794,120.0,4,Pop
2A5siFiDS4PtuDo7VjUm3q,Year 3000,0,119995,0,['Bossa Nova Beats'],['06H0K6KDnuC2iRwDayUSxx'],2021,0.527,0.514,1,-13.863,0,0.0401,0.227,0.823,0.123,0.874,139.996,4,Pop
5EkRNxQHNykW10zpxX6Xth,Please,2,276102,1,['BuckHolmes'],['4nuJyaM3aRb5tmQKdVCTgY'],2021,0.942,0.704,2,-7.018,1,0.161,0.279,7.37e-06,0.16,0.699,136.024,4,Soul
3VgWWxpKSXMjHu9qlqIJbK,7 Years,0,125559,0,"['Piano Fruits Music', 'Arthur White']","['5vpWEdK9C28uOX8jjfRi1v', '6Y8GSQuyccM6v2SNNKUZr5']",2021,0.657,0.151,10,-24.59,1,0.0417,0.982,0.954,0.099,0.445,97.984,4,Pop
7MYt7UiMsmjAGy1nSUS3nT,A Thousand Years,0,108057,0,"['Piano Fruits Music', 'Anton Goosmann']","['5vpWEdK9C28uOX8jjfRi1v', '1fPzD56OchmMDTv12ZTWpv']",2021,0.542,0.0262,10,-26.019,1,0.0499,0.994,0.96,0.0972,0.288,102.587,4,Pop
12oCf8psxoCNrYVLUDmbbw,Daredevil,42,103889,0,['Jazzp'],['2o83xn68bWsZkG9f1RYMgM'],2021,0.321,0.948,4,-7.775,1,0.0733,1.2e-06,0.834,0.103,0.309,170.098,4,Soundtrack
60Io4WgGItlIhtDP5SPaB8,No Turning Back,42,225912,0,['Jazzp'],['2o83xn68bWsZkG9f1RYMgM'],2021,0.602,0.532,5,-9.396,1,0.135,0.108,0.785,0.224,0.514,170.112,4,World
4DwRpHZ8XeWkbXn1lFEvBK,My Dear,30,114194,0,"['Funcc.', 'Epifania']","['3vAvHFXAMYvfj5AO2CoYyX', '47OYz3d3DvnXpfaJ7i0z6b']",2021,0.654,0.146,6,-15.968,0,0.0843,0.598,0.935,0.11,0.338,124.011,4,World
1C9VpBEN2Jzmz2AH9NhnOA,Another Life,22,115263,0,"['Funcc.', 'Paklite']","['3vAvHFXAMYvfj5AO2CoYyX', '4e1q3xincZXgqIGXXhZ0Dh']",2021,0.549,0.65,0,-9.265,1,0.0414,0.0152,0.603,0.468,0.234,151.886,4,Soul
3PL0nJgLfgwNLMhyEQlL3D,The Golden Age,19,198027,0,['Michal Cielecki'],['4BNbYkwFLxXh7rpAzwEit4'],2021,0.332,0.682,5,-10.48,0,0.0568,0.0249,0.85,0.361,0.165,139.951,4,Soundtrack
4TcnMCz0d27SsDNihYqFxW,A Thousand Years,13,285120,0,['Christina Perri'],['7H55rcKCfwqkyDFH9wpKM6'],2021,0.423,0.407,10,-7.45,1,0.0267,0.312,0.000961,0.11,0.161,139.048,3,Pop
2A0rT5KgnVWJuFY455etSo,Best I Can Do,15,141034,0,"['Funcc.', 'jERRU']","['3vAvHFXAMYvfj5AO2CoYyX', '0I26cxbQBaqf2A3gTQInvC']",2021,0.662,0.551,4,-9.751,0,0.122,0.801,0.926,0.131,0.274,66.519,4,Indie
4oZOPr3QEHpJf1Vj6PngLm,Somewhere,14,143226,0,"['Funcc.', 'INKY!']","['3vAvHFXAMYvfj5AO2CoYyX', '4jlY0hmEPAg8KTa4KVe4R4']",2021,0.837,0.263,2,-12.108,1,0.0618,0.802,0.864,0.106,0.624,124.025,4,Jazz
4Rv4Y6yPqeFeVBpzWo6cnX,Fantasy,5,215805,0,"['Chinese Relaxation and Meditation', 'Asian Traditional Music']","['6ocGsPADbB9aqCFMYXLLjQ', '3c8YvfkS0P01LGTynw582C']",2021,0.467,0.317,11,-19.263,0,0.0712,0.709,0.897,0.107,0.373,180.046,4,Soul
2pGsy4BgkwZRlQh3lpY1g2,Harvest Time,5,136608,0,"['Chinese Relaxation and Meditation', 'Asian Traditional Music']","['6ocGsPADbB9aqCFMYXLLjQ', '3c8YvfkS0P01LGTynw582C']",2021,0.767,0.431,8,-9.272,1,0.0383,0.636,0.143,0.109,0.315,119.997,4,Country
5YV1w2D8JRQubDoECUCA4C,New Years,0,108785,1,"['Mr AB', 'DJ Black Star']","['5qLyerD1e9X6xC6EDfqMp6', '2YqUPcWJHBwD2JHUwIcoAp']",2021,0.732,0.509,8,-11.579,1,0.383,0.25,0.0443,0.873,0.556,80.058,4,Ska
2Wsz3ceMib1Yes1c8NKacE,7 Years,4,244821,0,['Eric Lumiere'],['4TSqSBlGY1wV5qhnX6vVwB'],2021,0.521,0.267,10,-7.401,1,0.0395,0.858,0.0,0.11,0.382,112.007,4,Pop
4nyxnfiAduMea4pyxHLzec,7 Years,0,154023,0,['Liberation Zulu'],['0A0rwsCUgK6MCPsV69fCRm'],2021,0.703,0.8,8,-9.346,1,0.0323,0.00218,0.00444,0.13,0.437,126.295,4,Pop
46hq4VeLJNxSqU7mTMsMgh,Last Year,2,195717,0,['Oriental Music Zone'],['7IgLHADCmO8pOUAqR9kTo3'],2021,0.765,0.0145,5,-13.783,0,0.0754,0.964,0.931,0.0915,0.493,77.934,3,Indie
6ozmVAHu9Ua9VoJTsqnPRi,A Thousand Years,0,279223,0,['Layla Foster'],['3WQ5ahbDbgAooSZuKhIsvd'],2021,0.268,0.173,10,-15.756,1,0.0326,0.415,0.0,0.111,0.123,93.273,4,Pop
3V4p0WX2EftYYZAVHEMh3u,Man Of The Year,0,211323,1,['Yoboydevo'],['0W5os4svIKXbHHzHHpUX3i'],2021,0.691,0.53,8,-9.585,0,0.29,0.648,0.202,0.0993,0.32,149.982,4,Pop
724BQpxZkHcMzltHy7YopH,2002,0,186683,0,['Spinning Exercise'],['13OeYSbNsebRuZctDIe0do'],2021,0.62,0.652,4,-4.86,1,0.107,0.0854,0.000159,0.0546,0.589,192.194,4,Pop
